"Statistic Label","CensusYear","Age Group","Sex","Administrative Counties","UNIT","VALUE"
"Population with a disability to any extent","2022","10 - 14 years","Male","Limerick City & County Council","Number","1299"
"Population with a disability to any extent","2022","10 - 14 years","Male","Tipperary County Council","Number","1022"
"Population with a disability to any extent","2022","10 - 14 years","Male","Waterford City & County Council","Number","709"
"Population with a disability to any extent","2022","10 - 14 years","Male","Galway City Council","Number","389"
"Population with a disability to any extent","2022","10 - 14 years","Male","Galway County Council","Number","1027"
"Population with a disability to any extent","2022","10 - 14 years","Male","Leitrim County Council","Number","180"
"Population with a disability to any extent","2022","10 - 14 years","Male","Mayo  County Council","Number","661"
"Population with a disability to any extent","2022","10 - 14 years","Male","Roscommon County Council","Number","394"
"Population with a disability to any extent","2022","10 - 14 years","Male","Sligo County Council","Number","379"
"Population with a disability to any extent","2022","10 - 14 years","Male","Cavan County Council","Number","438"
"Population with a disability to any extent","2022","10 - 14 years","Male","Donegal County Council","Number","996"
"Population with a disability to any extent","2022","10 - 14 years","Male","Monaghan County Council","Number","356"
"Population with a disability to any extent","2022","10 - 14 years","Female","Ireland","Number","21594"
"Population with a disability to any extent","2022","10 - 14 years","Female","Carlow County Council","Number","274"
"Population with a disability to any extent","2022","10 - 14 years","Female","Dublin City Council","Number","1697"
"Population with a disability to any extent","2022","10 - 14 years","Female","Dún Laoghaire Rathdown County Council","Number","815"
"Population with a disability to any extent","2022","10 - 14 years","Female","Fingal County Council","Number","1554"
"Population with a disability to any extent","2022","10 - 14 years","Female","South Dublin County Council","Number","1421"
"Population with a disability to any extent","2022","10 - 14 years","Female","Kildare County Council","Number","1195"
"Population with a disability to any extent","2022","10 - 14 years","Female","Kilkenny County Council","Number","413"
"Population with a disability to any extent","2022","10 - 14 years","Female","Laois County Council","Number","516"
"Population with a disability to any extent","2022","10 - 14 years","Female","Longford County Council","Number","194"
"Population with a disability to any extent","2022","10 - 14 years","Female","Louth County Council","Number","618"
"Population with a disability to any extent","2022","10 - 14 years","Female","Meath County Council","Number","1103"
"Population with a disability to any extent","2022","10 - 14 years","Female","Offaly County Council","Number","403"
"Population with a disability to any extent","2022","10 - 14 years","Female","Westmeath County Council","Number","422"
"Population with a disability to any extent","2022","10 - 14 years","Female","Wexford County Council","Number","761"
"Population with a disability to any extent","2022","10 - 14 years","Female","Wicklow County Council","Number","789"
"Population with a disability to any extent","2022","10 - 14 years","Female","Clare County Council","Number","513"
"Population with a disability to any extent","2022","10 - 14 years","Female","Cork City Council","Number","850"
"Population with a disability to any extent","2022","10 - 14 years","Female","Cork County Council","Number","1735"
"Population with a disability to any extent","2022","10 - 14 years","Female","Kerry County Council","Number","609"
"Population with a disability to any extent","2022","10 - 14 years","Female","Limerick City & County Council","Number","861"
"Population with a disability to any extent","2022","10 - 14 years","Female","Tipperary County Council","Number","754"
"Population with a disability to any extent","2022","10 - 14 years","Female","Waterford City & County Council","Number","548"
"Population with a disability to any extent","2022","10 - 14 years","Female","Galway City Council","Number","253"
"Population with a disability to any extent","2022","10 - 14 years","Female","Galway County Council","Number","769"
"Population with a disability to any extent","2022","10 - 14 years","Female","Leitrim County Council","Number","136"
"Population with a disability to any extent","2022","10 - 14 years","Female","Mayo  County Council","Number","512"
"Population with a disability to any extent","2022","10 - 14 years","Female","Roscommon County Council","Number","305"
"Population with a disability to any extent","2022","10 - 14 years","Female","Sligo County Council","Number","304"
"Population with a disability to any extent","2022","10 - 14 years","Female","Cavan County Council","Number","333"
"Population with a disability to any extent","2022","10 - 14 years","Female","Donegal County Council","Number","698"
"Population with a disability to any extent","2022","10 - 14 years","Female","Monaghan County Council","Number","239"
